goos: linux
goarch: arm
pkg: github.com/jacobmarble/go-checksum-benchmark
BenchmarkChecksums/xxhash-pierrec-32-256Bytes-4      	11097081	      1070 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-256Bytes-4      	 9524605	      1258 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/md4-8KBytes-4                     	   28772	    416742 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-8KBytes-4                     	  119132	    100104 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-8KBytes-4                    	   55612	    212860 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-8KBytes-4                  	   14436	    830473 ns/op	     208 B/op	       3 allocs/op
BenchmarkChecksums/sha256-8KBytes-4                  	   14457	    830300 ns/op	     208 B/op	       3 allocs/op
BenchmarkChecksums/sha384-8KBytes-4                  	    7827	   1518369 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-8KBytes-4                  	    7710	   1533237 ns/op	      64 B/op	       1 allocs/op
BenchmarkChecksums/sha3-224-8KBytes-4                	    9706	   1206911 ns/op	     480 B/op	       3 allocs/op
BenchmarkChecksums/sha3-256-8KBytes-4                	    9291	   1292192 ns/op	     480 B/op	       3 allocs/op
BenchmarkChecksums/sha3-384-8KBytes-4                	    7333	   1636757 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-512-8KBytes-4                	    5115	   2348086 ns/op	     544 B/op	       3 allocs/op
BenchmarkChecksums/sha512-224-8KBytes-4              	    7891	   1518784 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256-8KBytes-4              	    7855	   1518388 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/adler32-8KBytes-4                 	  224919	     53336 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-ieee-8KBytes-4              	  150266	     80397 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-castagnoli-8KBytes-4        	  150267	     80542 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-koopman-8KBytes-4           	  118464	    101299 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc64-8KBytes-4                   	   81958	    145299 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32-8KBytes-4                   	  162703	     74236 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32a-8KBytes-4                  	  142561	     82887 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64-8KBytes-4                   	  139899	     82900 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64a-8KBytes-4                  	  118111	    101660 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-8KBytes-4                    	  110738	    108314 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-128-8KBytes-4                	  110686	    108836 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-cespare-8KBytes-4          	  141404	     85012 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-32-8KBytes-4      	  198210	     60462 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-64-8KBytes-4      	  254566	     47213 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-8KBytes-4       	  216715	     55336 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-8KBytes-4       	  145117	     82802 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/md4-256KBytes-4                   	   37969	    315734 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-256KBytes-4                   	  157906	     76026 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-256KBytes-4                  	   73374	    161085 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-256KBytes-4                	   19178	    622598 ns/op	     208 B/op	       3 allocs/op
BenchmarkChecksums/sha256-256KBytes-4                	   19222	    626626 ns/op	     208 B/op	       3 allocs/op
BenchmarkChecksums/sha384-256KBytes-4                	   10000	   1151395 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256KBytes-4                	   10000	   1163770 ns/op	      64 B/op	       1 allocs/op
BenchmarkChecksums/sha3-224-256KBytes-4              	   13231	    910354 ns/op	     480 B/op	       3 allocs/op
BenchmarkChecksums/sha3-256-256KBytes-4              	   12339	    971919 ns/op	     480 B/op	       3 allocs/op
BenchmarkChecksums/sha3-384-256KBytes-4              	    9105	   1249795 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-512-256KBytes-4              	    6757	   1766053 ns/op	     544 B/op	       3 allocs/op
BenchmarkChecksums/sha512-224-256KBytes-4            	   10000	   1153062 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256-256KBytes-4            	   10000	   1148246 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/adler32-256KBytes-4               	  294074	     40344 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-ieee-256KBytes-4            	  190816	     60372 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-castagnoli-256KBytes-4      	  197341	     60473 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-koopman-256KBytes-4         	  155228	     76475 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc64-256KBytes-4                 	  108718	    109369 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32-256KBytes-4                 	  216206	     55667 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32a-256KBytes-4                	  191020	     62324 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64-256KBytes-4                 	  192470	     62393 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64a-256KBytes-4                	  157204	     76104 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-256KBytes-4                  	  148264	     81894 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-128-256KBytes-4              	  144076	     81729 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-cespare-256KBytes-4        	  187633	     63681 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-32-256KBytes-4    	  262412	     45380 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-64-256KBytes-4    	  336637	     35634 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-256KBytes-4     	  275280	     41955 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-256KBytes-4     	  186615	     62230 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/md4-8MBytes-4                     	      27	 427525192 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-8MBytes-4                     	     100	 104954177 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-8MBytes-4                    	      54	 218379655 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-8MBytes-4                  	      13	 841180088 ns/op	     208 B/op	       3 allocs/op
BenchmarkChecksums/sha256-8MBytes-4                  	      13	 841164015 ns/op	     208 B/op	       3 allocs/op
BenchmarkChecksums/sha384-8MBytes-4                  	       7	1532803494 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-8MBytes-4                  	       7	1543395524 ns/op	      64 B/op	       1 allocs/op
BenchmarkChecksums/sha3-224-8MBytes-4                	       9	1223560413 ns/op	     480 B/op	       3 allocs/op
BenchmarkChecksums/sha3-256-8MBytes-4                	       8	1301174430 ns/op	     480 B/op	       3 allocs/op
BenchmarkChecksums/sha3-384-8MBytes-4                	       6	1677568595 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-512-8MBytes-4                	       5	2381503506 ns/op	     544 B/op	       3 allocs/op
BenchmarkChecksums/sha512-224-8MBytes-4              	       7	1532801805 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256-8MBytes-4              	       7	1532707988 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/adler32-8MBytes-4                 	     205	  58342832 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-ieee-8MBytes-4              	     134	  88945755 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-castagnoli-8MBytes-4        	     133	  89688290 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-koopman-8MBytes-4           	     100	 109103102 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc64-8MBytes-4                   	      73	 163263619 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32-8MBytes-4                   	     150	  79015313 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32a-8MBytes-4                  	     134	  89179154 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64-8MBytes-4                   	     135	  89157420 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64a-8MBytes-4                  	     100	 107404683 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-8MBytes-4                    	     100	 115572675 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-128-8MBytes-4                	     100	 115158210 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-cespare-8MBytes-4          	     133	  89347476 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-32-8MBytes-4      	     180	  65803949 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-64-8MBytes-4      	     236	  51235340 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-8MBytes-4       	     199	  60051172 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-8MBytes-4       	     138	  87566249 ns/op	       8 B/op	       1 allocs/op
PASS
ok  	github.com/jacobmarble/go-checksum-benchmark	1971.175s
