goos: linux
goarch: amd64
pkg: github.com/jacobmarble/go-checksum-benchmark
cpu: Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz
BenchmarkChecksums/xxhash-oneofone-64-256Bytes-32     	149224593	        80.84 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-256Bytes-32      	138556048	        87.98 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-256Bytes-32      	131736464	        91.42 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/md4-8KBytes-32                     	  366447	     32437 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-8KBytes-32                     	  842898	     13633 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-8KBytes-32                    	  547510	     20664 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-8KBytes-32                  	  223027	     51376 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha256-8KBytes-32                  	  224584	     51350 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha384-8KBytes-32                  	  348582	     33680 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-8KBytes-32                  	  346020	     33674 ns/op	      64 B/op	       1 allocs/op
BenchmarkChecksums/sha3-224-8KBytes-32                	  363294	     32784 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-256-8KBytes-32                	  342354	     34962 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-384-8KBytes-32                	  266058	     44731 ns/op	     544 B/op	       3 allocs/op
BenchmarkChecksums/sha3-512-8KBytes-32                	  187328	     63410 ns/op	     576 B/op	       3 allocs/op
BenchmarkChecksums/sha512-224-8KBytes-32              	  347005	     33641 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256-8KBytes-32              	  341398	     33914 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/adler32-8KBytes-32                 	 2818784	      4293 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-ieee-8KBytes-32              	 4081489	      2832 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-castagnoli-8KBytes-32        	29439486	       414.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-koopman-8KBytes-32           	  539817	     20933 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc64-8KBytes-32                   	 1826038	      6550 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32-8KBytes-32                   	 1000000	     10059 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32a-8KBytes-32                  	 1000000	     10047 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64-8KBytes-32                   	 1000000	     10047 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64a-8KBytes-32                  	 1000000	     10047 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-8KBytes-32                    	21853735	       545.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-128-8KBytes-32                	20534688	       580.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-cespare-8KBytes-32          	12866222	       921.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-32-8KBytes-32      	 4092361	      2916 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-64-8KBytes-32      	10840854	      1104 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-8KBytes-32       	 5466846	      2193 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-8KBytes-32       	 9966216	      1196 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/md4-256KBytes-32                   	  450702	     24485 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-256KBytes-32                   	 1000000	     10274 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-256KBytes-32                  	  737126	     15599 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-256KBytes-32                	  297332	     38665 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha256-256KBytes-32                	  298933	     38666 ns/op	      32 B/op	       1 allocs/op
