goos: darwin
goarch: arm64
pkg: github.com/jacobmarble/go-checksum-benchmark
BenchmarkChecksums_NonCryptographic/xxhash-cespare-1B-12    	33972598	        35.04 ns/op	      88 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-oneofone-32-1B-12         	37197240	        32.34 ns/op	      56 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-oneofone-64-1B-12         	32305682	        37.95 ns/op	     104 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-pierrec-32-1B-12          	28899674	        42.07 ns/op	      72 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-pierrec-64-1B-12          	22518700	        53.60 ns/op	     104 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/adler32-1KB-12                   	 3431875	       345.3 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-ieee-1KB-12                	 8548964	       140.3 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-castagnoli-1KB-12          	 8573198	       140.8 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-koopman-1KB-12             	  275385	      4386 ns/op	    1048 B/op	       3 allocs/op
BenchmarkChecksums_NonCryptographic/crc64-1KB-12                     	 1816447	       680.4 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv32-1KB-12                     	  984338	      1208 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv32a-1KB-12                    	  989716	      1202 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv64-1KB-12                     	  997246	      1203 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv64a-1KB-12                    	 1000000	      1206 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv128-1KB-12                    	  540364	      2197 ns/op	      32 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv128a-1KB-12                   	  972618	      1334 ns/op	      32 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxh3-1KB-12                      	12851904	        94.47 ns/op	      32 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxh3-128-1KB-12                  	11966424	       100.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-cespare-1KB-12            	12090374	        99.31 ns/op	      88 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-oneofone-32-1KB-12        	 7085672	       167.9 ns/op	      56 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-oneofone-64-1KB-12        	11725924	       101.4 ns/op	     104 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-pierrec-32-1KB-12         	 6757480	       175.0 ns/op	      72 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-pierrec-64-1KB-12         	10214518	       117.9 ns/op	     104 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/adler32-1MB-12                   	    3542	    332449 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-ieee-1MB-12                	    9735	    122349 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-castagnoli-1MB-12          	    9774	    122651 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-koopman-1MB-12             	     489	   2456568 ns/op	    1048 B/op	       3 allocs/op
BenchmarkChecksums_NonCryptographic/crc64-1MB-12                     	    1996	    600520 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv32-1MB-12                     	     976	   1227845 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv32a-1MB-12                    	     964	   1223651 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv64-1MB-12                     	     954	   1224386 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv64a-1MB-12                    	     979	   1225060 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv128-1MB-12                    	     531	   2250964 ns/op	      32 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv128a-1MB-12                   	     944	   1281504 ns/op	      32 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxh3-1MB-12                      	   19164	     62040 ns/op	      32 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxh3-128-1MB-12                  	   19286	     62236 ns/op	      48 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-cespare-1MB-12            	   17872	     67056 ns/op	      88 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-oneofone-32-1MB-12        	    8558	    141049 ns/op	      56 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-oneofone-64-1MB-12        	   17784	     67292 ns/op	     104 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-pierrec-32-1MB-12         	    8818	    135564 ns/op	      72 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-pierrec-64-1MB-12         	   17683	     67810 ns/op	     104 B/op	       2 allocs/op
PASS
ok  	github.com/jacobmarble/go-checksum-benchmark	128.924s
