goos: darwin
goarch: amd64
pkg: github.com/jacobmarble/go-checksum-benchmark
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkChecksums/xxhash-oneofone-64-256Bytes-16     	365022598	        32.88 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-256Bytes-16      	328710492	        36.22 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-256Bytes-16      	321842194	        37.85 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/md4-8KBytes-16                     	  600834	     19818 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-8KBytes-16                     	 1304559	      9187 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-8KBytes-16                    	 1763396	      6746 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-8KBytes-16                  	  706291	     16595 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha256-8KBytes-16                  	  673484	     16595 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha384-8KBytes-16                  	 1000000	     11599 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-8KBytes-16                  	 1000000	     11811 ns/op	      64 B/op	       1 allocs/op
BenchmarkChecksums/sha3-224-8KBytes-16                	  632168	     18956 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-256-8KBytes-16                	  590365	     20461 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-384-8KBytes-16                	  468964	     26060 ns/op	     544 B/op	       3 allocs/op
BenchmarkChecksums/sha3-512-8KBytes-16                	  323469	     37377 ns/op	     576 B/op	       3 allocs/op
BenchmarkChecksums/sha512-224-8KBytes-16              	 1006377	     11540 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256-8KBytes-16              	 1000000	     11647 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/adler32-8KBytes-16                 	 4734100	      2465 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-ieee-8KBytes-16              	32586990	       371.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-castagnoli-8KBytes-16        	43811180	       279.7 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-koopman-8KBytes-16           	  730390	     15092 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc64-8KBytes-16                   	 3357297	      3536 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32-8KBytes-16                   	 1631192	      7360 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32a-8KBytes-16                  	 1613727	      7383 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64-8KBytes-16                   	 1627292	      7393 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64a-8KBytes-16                  	 1627122	      7427 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-8KBytes-16                    	64803781	       184.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-128-8KBytes-16                	60528952	       202.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-cespare-8KBytes-16          	23503993	       515.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-32-8KBytes-16      	 8941962	      1332 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-64-8KBytes-16      	22964982	       523.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-8KBytes-16       	12244924	       983.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-8KBytes-16       	22891131	       521.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/md4-256KBytes-16                   	  780243	     14955 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-256KBytes-16                   	 1728896	      6946 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-256KBytes-16                  	 2327538	      5199 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-256KBytes-16                	  972476	     12434 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha256-256KBytes-16                	  942538	     12401 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha384-256KBytes-16                	 1350967	      8962 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256KBytes-16                	 1346060	      9026 ns/op	      64 B/op	       1 allocs/op
BenchmarkChecksums/sha3-224-256KBytes-16              	  760302	     14432 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-256-256KBytes-16              	  782684	     15443 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-384-256KBytes-16              	  607615	     20084 ns/op	     544 B/op	       3 allocs/op
BenchmarkChecksums/sha3-512-256KBytes-16              	  429546	     28205 ns/op	     576 B/op	       3 allocs/op
BenchmarkChecksums/sha512-224-256KBytes-16            	 1348191	      8773 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256-256KBytes-16            	 1308854	      8897 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/adler32-256KBytes-16               	 6441294	      1871 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-ieee-256KBytes-16            	41538201	       286.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-castagnoli-256KBytes-16      	50447541	       240.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-koopman-256KBytes-16         	 1000000	     11450 ns/op	       8 B/op	       1 allocs/op
